page_name,gender_streamer,age,country,num_followers,platform,streamed_game1,streamed_game2,streamed_game3,date_started,page_link,year_started
BLinK Gaming,male,-1,unavailable,397932,Facebook,Call of Duty: Mobile,none,none,2018-01-21,https://www.facebook.com/TFsBLinK/,2018
Z4pnu,male,-1,unavailable,2673633,Facebook,Mobile Legends,none,none,2017-10-11,https://www.facebook.com/z4pnu/,2017
Riku PH,female,-1,Philippines,245000,Facebook,Wild Rift,none,none,2014-11-13,https://www.facebook.com/RikuPH,2014
Rain Zerlyn,female,-1,unavailable,161000,Facebook,DOTA 2,Valorant,none,2018-04-01,https://www.facebook.com/statsgirlrain,2018
Le Josette,female,-1,unavailable,239374,Facebook,Mobile Legends,Valorant,none,2016-09-26,https://www.facebook.com/josetteswanbaby/,2016
Jia Dee,female,-1,unavailable,6838,Facebook,Hearthstone,none,none,2019-11-15,https://www.facebook.com/JiaDeeGaming/,2019
Tingmats,male,-1,unavailable,14081,Facebook,Valorant,PUBG,none,2019-06-15,https://www.facebook.com/tingmatsgaming/,2019
krisrey,female,-1,Philippines,23814,Twitch,Valorant,Raid: Shadow Legends,Minecraft,2015-04-27,https://www.twitch.tv/krisrey,2015
jollymcdo,male,-1,Philippines,12019,Twitch,Valorant,Escape from Tarkov,Grand Theft Auto V,2016-05-24,https://www.twitch.tv/jollymcdo,2016
Ichiiiiii,male,-1,unavailable,1539,Twitch,Stream Raiders,Fall Guys,Witcher 3: Wild Hunt,2013-09-05,https://www.twitch.tv/ichiiiiii,2013
PlayWithBlaire,male,-1,Philippines,1985,Twitch,Valorant,League of Legends,Final Fantasy XIV Online,2019-07-28,https://www.twitch.tv/playwithblaire,2019
Sabiniani,female,-1,unavailable,1951,Twitch,Rainbow Six Siege,PUBG,Fortnite,2015-04-08,https://www.twitch.tv/sabiniani,2015
clhope,male,-1,unavailable,1049,Twitch,Valorant,Genshin Impact,Minecraft,2018-05-24,https://www.twitch.tv/clhope,2018
Laicaverse,female,-1,unavailable,5064,Twitch,Grand Theft Auto V,Valorant,APEX Legends,2017-10-24,https://www.twitch.tv/laicaverse,2017
Raeyei,female,-1,unavailable,121028,Twitch,DOTA 2,Dota Underlords,Valorant,2016-09-14,https://www.twitch.tv/raeyei,2016
RamenStyle,male,-1,unavailable,11140,Twitch,Escape From Tarkov,PUBG,CS:GO,2014-08-15,https://www.twitch.tv/ramenstyle,2014
nukella,female,-1,Philippines,7139,Twitch,League of Legends,Valorant,none,2017-03-09,https://www.twitch.tv/nukella,2017
xxsilverspades,female,-1,unavailable,5519,Twitch,Valorant,PUBG,Rainbow Six Siege,2017-12-07,https://www.twitch.tv/xxsilverspades,2017
seika,female,-1,unavailable,9296,Twitch,Final Fantasy XIV Online,DOTA 2,Genshin Impact,2014-02-24,https://www.twitch.tv/seika,2014
asahinatv,female,-1,unavailable,5873,Twitch,Tekken 7,DOTA 2,Valorant,2016-03-30,https://www.twitch.tv/asahinatv,2016
erineeman,male,-1,unavailable,7064,Twitch,DOTA 2,FF7 Remake,God of War,2014-08-30,https://www.twitch.tv/erineeman,2014
JeevesDotaTV,male,-1,unavailable,25985,Twitch,DOTA 2,Dawn of Man,XCOM 2: War of the Chosen,2016-02-13,https://www.twitch.tv/jeevesdotatv,2016
iceiceice,male,-1,unavailable,211707,Twitch,DOTA 2,PUBG,Magic The Gathering,2012-07-06,https://www.twitch.tv/iceiceice,2012
ShuFayeWong,female,-1,unavailable,18972,Twitch,DOTA 2,Valorant,Dota Underlords,2016-08-23,https://www.twitch.tv/shufayewong,2016
Iconiq,male,-1,unavailable,2130,Twitch,League of Legends,PUBG,APEX Legends,2016-03-23,https://www.twitch.tv/iconiq,2016
Ashlili,female,-1,unavailable,43709,Twitch,PUBG,League of Legends,Valorant,2015-02-01,https://www.twitch.tv/ashlili,2015
DisbeArex,female,-1,unavailable,138516,Twitch,Grand Theft Auto V,DayZ,Red Dead Redemption 2,2014-12-24,https://www.twitch.tv/disbearex,2014
Miyukito,female,-1,unavailable,10619,Twitch,PUBG,DOTA 2,World of Warcraft,2014-05-14,https://www.twitch.tv/miyukito,2014
Crescentine,female,-1,France,11029,Twitch,Conqueror's Blade,none,none,2017-11-12,https://www.twitch.tv/crescentine,2017
MrGi0,male,-1,unavailable,4621,Twitch,Ragnarok Online,PUBG,Fortnite,2017-06-04,https://www.twitch.tv/mrgi0,2017
TheAsuraiGaming,male,-1,unavailable,3804,Twitch,Valorant,Fortnite,PUBG,2016-02-01,https://www.twitch.tv/theasuraigaming,2016
MEKABEAR,female,-1,unavailable,114621,Twitch,Grand Theft Auto V,World of Warcraft,Dark Souls III,2017-05-03,https://www.twitch.tv/mekabear,2017
SunBaconRelaxer,male,-1,unavailable,65215,Twitch,Hearthstone,League of Legends,PUBG,2015-01-07,https://www.twitch.tv/sunbaconrelaxer,2015
Otzdarva,male,-1,Spain,458209,Twitch,Dead by Daylight,Dark Souls II,PUBG,2014-04-29,https://www.twitch.tv/otzdarva,2014
HolyRequiem,male,22,Philippines,205,Facebook,Valorant,none,none,2020-09-25,https://www.facebook.com/HolyRequiemPlaysGames,2020
Zypheros,male,-1,Philippines,562,Facebook,Valorant,Genshin Impact,League of Legends,2019-12-16,https://www.facebook.com/zypheros.gg,2019
Domoreooo,male,22,Philippines,393,Facebook,Monster Hunter,Minecraft,Valorant,2019-02-24,https://www.facebook.com/domoreooo,2019
Tachee_Gaming,male,-1,Philippines,206,Facebook,League of Legends,Bloons TD,APEX Legends,2019-04-11,https://www.facebook.com/tacheekomaplays,2019
Brixsanity,male,22,Philippines,380,Facebook,Mobile Legends,Legends of Runeterra,none,2020-05-07,https://www.facebook.com/BrixsanityLoR/,2020
John Miller,male,-1,Philippines,143,Facebook,Valorant,Counter Strike: Global Offensive,none,2020-07-30,https://www.facebook.com/funnykeh.page,2020
Matteo,male,22,Philippines,272,Facebook,Valorant,none,none,2021-03-23,https://www.facebook.com/Matteo2k,2021
Mandyrigma,male,-1,Philippines,300,Facebook,DOTA 2,Fortnite,Rules of Survival,2020-01-14,https://www.facebook.com/mandyrigmaaaa,2020
Loon33y Gaming,male,-1,Philippines,198,Facebook,Mobile Legends,none,none,2021-02-01,https://www.facebook.com/Loon33yy,2021
Bossaboss Plays,male,-1,Philippines,415,Facebook,Mobile Legends,Valorant,none,2020-02-08,https://www.facebook.com/SharpEyeplays,2020
BiGen Gaming,male,-1,Philippines,70,Facebook,League of Legends: Wild Rift,none,none,2020-07-20,https://www.facebook.com/BiGen-Gaming-111357997325610,2020
Zen,male,-1,Philippines,314,Facebook,Valorant,League of Legends,none,2020-08-22,https://www.facebook.com/watchzenplay/,2020
Euriece,male,-1,Philippines,434,Facebook,APEX Legends,none,none,2019-08-28,https://www.facebook.com/Euriece,2019
Keev,male,-1,Philippines,128,Facebook,APEX Legends,none,none,2019-07-30,https://www.facebook.com/KeevPH,2019
Lord Abaddon,male,-1,Philippines,506,Facebook,Minecraft,Valorant,League of Legends,2020-06-06,https://www.facebook.com/TheRealLordAbaddon,2020
RalphJay100,male,-1,Philippines,513,Facebook,Valorant,Call of Duty: Warzone,none,2020-07-06,https://www.facebook.com/Ralphjay100Gaming,2020
K4NGI,male,-1,Philippines,611,Facebook,Call of Duty: Warzone,none,none,2019-11-05,https://www.facebook.com/K4NGI,2019
Darz,male,-1,Philippines,394,Facebook,Mobile Legends,Call of Duty: Mobile,none,2020-07-16,https://www.facebook.com/darzkiegaming,2020
Wam Pip Ti Gaming,male,-1,Philippines,1186,Facebook,Mobile Legends,Call of Duty: Mobile,none,2020-07-13,https://www.facebook.com/www.wampiptigaming,2020
Ako Si Natoy Tv,male,-1,Philippines,1013,Facebook,Mobile Legends,none,none,2020-07-21,https://www.facebook.com/Ako-Si-Natoy-Tv-107409631057834,2020
Raflesia Gaming,male,-1,Indonesia,954,Facebook,Mobile Legends,none,none,2020-04-19,https://www.facebook.com/rizkysilarahman,2020
N O C T I S,male,-1,Philippines,365,Facebook,Ragnarok Online,none,none,2019-09-27,https://www.facebook.com/NOCTIS30,2019
Arlybee Gaming,female,-1,Philippines,232,Facebook,Mobile Legends,none,none,2020-09-26,https://www.facebook.com/arlybeegaming,2020
Bastanyel Gaming,male,-1,Philippines,112,Facebook,Call of Duty: Mobile,none,none,2020-07-01,https://www.facebook.com/BastyanelGaming,2020
Ousama Gaming,male,-1,Philippines,146,Facebook,Valorant,Mobile Legends,League of Legends,2020-08-03,https://www.facebook.com/Ousama-Gaming-594181264588690,2020
Gercoco Gaming,male,-1,Philippines,755,Facebook,Valorant,Mobile Legends,NBA2k20,2021-01-11,https://www.facebook.com/GercocoLumber,2021
Yaxie Ch.,female,-1,Philippines,63816,Facebook,Minecraft,Valheim,Valorant,2020-11-03,https://www.facebook.com/YaxieLotte/,2020
